job_id,titulo,empresa,ubicacion,descripcion,fecha_pub,url,keyword,fuente,fecha_scrap,nivel,tipo_empleo,modalidad,salario
desarrollo-de-bots-de-whatsapp-con-ia-e-integracion-con-firebase-y-bird,Desarrollo de Bots de Whatsapp con Ia e Integración con Firebase y Bird,Freelancer M. S.,Argentina,"Buscamos un profesional para automatizar las gestiones operativas de nuestro Call Center mediante el desarrollo e implementación de bots conversacionales en WhatsApp. El proyecto incluye la integración de estos bots con un agente de Inteligencia Artificial para respuestas inteligentes y fluidas, así como la conexión con la plataforma BIRD y nuestra",Ayer,https://www.workana.com/job/desarrollo-de-bots-de-whatsapp-con-ia-e-integracion-con-firebase-y-bird,Data Scientist,workana,2026-04-07T17:56:04.884796,,"API, Database, Chatbot, JavaScript, Google Cloud Platform (GCP), Typescript",Remoto,USD 1.000 - 3.000
desarrollador-para-automatizacion-de-informes-de-estudios-de-mercado-cuantitativos,Desarrollador para Automatización de Informes de Estudios de Mercado Cuantitativos,Freelancer F. A.,Argentina,"Estamos buscando un/a desarrollador/a o equipo con experiencia en automatización, procesamiento de datos y generación programática de documentos para desarrollar una solución que automatice un proceso clave de producción de informes de estudios de mercado cuantitativos.## Contexto del proyectoHoy el flujo de trabajo es altam",Hace instantes,https://www.workana.com/job/desarrollador-para-automatizacion-de-informes-de-estudios-de-mercado-cuantitativos,Data Scientist,workana,2026-04-07T17:56:04.886703,,"Python, React.js, Machine Learning, API, Microsoft PowerPoint",Remoto,USD 1.000 - 3.000
busqueda-de-socio-estrategico-para-optimizacion-y-desarrollo-web-de-boxmoment-com-ar,Búsqueda de Socio Estratégico para Optimización y Desarrollo Web de Boxmoment.com.ar,Freelancer J. P.,Argentina,"Estamos buscando un socio estratégico con experiencia en programación para mejorar y optimizar nuestra plataforma web actual,BoxMoment.com.ar.El objetivo principal es potenciar la funcionalidad, la experiencia de usuario y el rendimiento g",Hace 1 hora,https://www.workana.com/job/busqueda-de-socio-estrategico-para-optimizacion-y-desarrollo-web-de-boxmoment-com-ar,Data Scientist,workana,2026-04-07T17:56:04.888523,,"PHP, JavaScript, HTML, CSS, MySQL, Responsive Web Design",Remoto,Menos de USD 15 / hora
feedback-revision-de-proyecto-saas-finalizado,Feedback/Revisión de proyecto Saas finalizado.,Freelancer R. A.,Argentina,"Estoy desarrollando un SaaS para barberías y necesito una revisión general por parte de alguien con experiencia en proyectos web, SaaS o sistemas de turnos.El sistema ya está funcionando y bastante avanzado. Tiene frontend y backend separados, reservas, panel administrativo, lógica de turnos, pagos y despliegue.En esta etapa",Hace 2 horas,https://www.workana.com/job/feedback-revision-de-proyecto-saas-finalizado,Data Scientist,workana,2026-04-07T17:56:04.890486,,"System Analysis, Software Testing, API, Database, DevOps, Informática",Remoto,Menos de USD 15 / hora
desarrollo-de-bot-de-whatsapp-con-inteligencia-artificial-para-automatizacion,Desarrollo de Bot de Whatsapp con Inteligencia Artificial para Automatización,Freelancer B. Q.,Argentina,"Soy desarrollador experto para crear e implementar un bot de inteligencia artificial para automatizar las respuestas en WhatsApp. El objetivo principal es mejorar la eficiencia en la comunicación con los clientes, proporcionando respuestas rápidas y precisas a consultas frecuentes. El bot deberá ser capaz de comprender las intenciones del usuario,",Hace 5 horas,https://www.workana.com/job/desarrollo-de-bot-de-whatsapp-con-inteligencia-artificial-para-automatizacion,Data Scientist,workana,2026-04-07T17:56:04.892274,,"Chatbot, Python, API, REST API, Natural Language Processing, Machine Learning",Remoto,USD 100 - 250
integracion-de-whatsapp-business-api-con-ia-para-ventas-y-soporte-de-indumentaria-deportiva,Integración de Whatsapp Business Api con Ia para Ventas y Soporte de Indumentaria Deportiva,Freelancer D. S.,Argentina,"Se busca un experto para integrar la API de WhatsApp Business con inteligencia artificial, similar a ChatGPT, con el objetivo principal de automatizar la venta de indumentaria deportiva y proporcionar soporte al cliente. El sistema debe ser capaz de responder preguntas frecuentes, guiar a los clientes a través del proceso de compra y, cuando sea ne",Hace 5 horas,https://www.workana.com/job/integracion-de-whatsapp-business-api-con-ia-para-ventas-y-soporte-de-indumentaria-deportiva,Data Scientist,workana,2026-04-07T17:56:04.894156,,"API, Chatbot, Machine Learning, Python, JavaScript, Web Services",Remoto,USD 100 - 250
desarrollo-de-tableros-interactivos-en-power-bi-para-analisis-de-recursos-humanos,Desarrollo de Tableros Interactivos en Power Bi para Análisis de Recursos Humanos,Freelancer A. S.,Argentina,"Se requiere un profesional para el desarrollo e implementación de tableros interactivos utilizando Power BI. El objetivo principal es visualizar y medir los datos de Recursos Humanos, permitiendo un análisis claro y eficiente. El proyecto incluye la integración de datos de diversas fuentes, la creación de métricas clave de rendimiento (KPIs) y la c",Hace 6 horas,https://www.workana.com/job/desarrollo-de-tableros-interactivos-en-power-bi-para-analisis-de-recursos-humanos,Data Scientist,workana,2026-04-07T17:56:04.895909,,"Power BI, Data Mining, SQL, Modelado de Datos, MySQL",Remoto,USD 100 - 250
experto-en-automatizacion-make-com-openai-bot-de-elite-para-pronosticos-deportivos,Experto en Automatización (Make.com + Openai) - Bot de Elite para Pronósticos Deportivos,Freelancer L. F.,Argentina,"Busco un programador para desarrollar un sistema 100% automatizado de análisis y publicación de pronósticos deportivos (Fútbol). El objetivo es crear una ""IA de Elite"" que analice datos de ligas específicas y gestione dos canales de Telegram (Gratis y VIP) de forma autónoma.Especificaciones del Proyecto:Fuentes de",Hace 6 horas,https://www.workana.com/job/experto-en-automatizacion-make-com-openai-bot-de-elite-para-pronosticos-deportivos,Data Scientist,workana,2026-04-07T17:56:04.898081,,"Python, API, Web Services, Machine Learning, MySQL, JavaScript",Remoto,Menos de USD 50
buscamos-un-capacitador-en-odoo,Buscamos un capacitador en Odoo,Freelancer A. A.,Argentina,"Nos encontramos en la búsqueda de un/a capacitador/a en el sistema Odoo para impartir formación práctica a nuestro equipo. El objetivo principal es asegurar la correcta y eficiente utilización de Odoo para la gestión operativa y administrativa de nuestra empresa.La capacitación debe ser integral, cubriendo los módulos esenciales para nuestra",Ayer,https://www.workana.com/job/buscamos-un-capacitador-en-odoo,Data Scientist,workana,2026-04-07T17:58:44.451026,,"Odoo, ERP, System Analysis",Remoto,Menos de USD 15 / hora
programador-y-especialista-en-claude-anthropic,Programador y Especialista en Claude.Anthropic,Freelancer P.,Argentina,"Se busca un programador y especialista en inteligencia artificial CLAUDE para desarrollar e implementar un sistema de clasificación de documentos y acceso a bases de datos web pre-programadas. El proyecto incluye la configuración y ajuste de las herramientas de IA, así como la capacitación rápida para el manejo autónomo de estas soluciones. E",Ayer,https://www.workana.com/job/programador-y-especialista-en-claude-anthropic,Data Scientist,workana,2026-04-07T17:58:44.452772,,"Python, Machine Learning, Natural Language Processing, Amazon Web Services (AWS)",Remoto,Menos de USD 50
