job_id,titulo,empresa,ubicacion,descripcion,fecha_pub,url,keyword,fuente,fecha_scrap,nivel,tipo_empleo,modalidad,salario
especialista-en-desarrollo-integral-y-rendimiento-de-e-commerce-tiendanube,Especialista en Desarrollo Integral y Rendimiento de E-commerce Tiendanube,Freelancer R. A. M.,Argentina,"Estamos buscando un profesional o agencia con experiencia comprobable para el desarrollo integral, la ejecución publicitaria, email marketing y mantenimiento continuo de nuestro e-commerce. El objetivo principal es implementar una tienda online optimizada para la conversión, establecer un embudo de ventas efectivo mediante pauta paga y automatizaci",Hace 26 minutos,https://www.workana.com/job/especialista-en-desarrollo-integral-y-rendimiento-de-e-commerce-tiendanube,Data Scientist,workana,2026-09-05T12:54:04.823038,,"Tienda Nube, HTML, CSS, JavaScript, API, Database",Remoto,USD 250 - 500
clonar-tienda-nube-exportacion-y-replicacion-de-diseno-y-productos,Clonar Tienda Nube: Exportación y Replicación de Diseño y Productos,Freelancer R. H.,Argentina,"Se requiere un experto para clonar una tienda existente en la plataforma Tienda Nube. El proyecto implica la exportación completa del diseño actual de la tienda y de todos sus productos, incluyendo descripciones, imágenes, precios y cualquier otra información relevante. Posteriormente, se deberá replicar este diseño y cargar los productos exportado",Hace 37 minutos,https://www.workana.com/job/clonar-tienda-nube-exportacion-y-replicacion-de-diseno-y-productos,Data Scientist,workana,2026-09-05T12:54:04.823572,,"Tienda Nube, HTML, CSS, JavaScript, Tiendas Online (e-commerce), Diseño Web",Remoto,USD 100 - 250
desarrollador-a-full-stack-laravel-react-js-react-native-itarna-1,Desarrollador/a Full Stack — Laravel + React.js + React Native (Itarna),Freelancer Itarna,Estados Unidos,"En Itarna buscamos sumar un/a desarrollador/a Full Stack con experiencia real en Laravel,React.jsy React Native para colaborar en proyectos web y mobile en producción, con clientes de LATAM y Europa.Stack requerido (excluyente)✔️",Ayer,https://www.workana.com/job/desarrollador-a-full-stack-laravel-react-js-react-native-itarna-1,Data Scientist,workana,2026-09-05T12:54:04.824070,,"JavaScript, MySQL, PHP",Remoto,USD 15 - 45 / hora
especialista-en-analisis-de-informacion-con-ia-claude-y-mcp-server,Especialista en Análisis de Información con Ia (Claude y Mcp Server),Freelancer BIAmpe.,Argentina,Se busca un especialista con experiencia en inteligencia artificial para realizar análisis de información utilizando la plataforma Claude y gestionando datos en un entorno de servidor MCP. El objetivo principal es extraer insights valiosos y patrones significativos de grandes volúmenes de datos para apoyar la toma de decisiones estratégicas. Especi,Hace 4 horas,https://www.workana.com/job/especialista-en-analisis-de-informacion-con-ia-claude-y-mcp-server,Data Scientist,workana,2026-09-05T12:54:04.824554,,"Data Mining, Machine Learning, Python, Microsoft Windows Server",Remoto,USD 50 - 100
automatizacion-de-respuestas-con-inteligencia-artificial,Automatización de Respuestas con Inteligencia Artificial,Freelancer Abel D. E.,Argentina,Se busca un profesional para implementar un sistema de automatización de respuestas utilizando inteligencia artificial. El objetivo es mejorar la eficiencia y la consistencia en la comunicación. El proyecto implica la integración de capacidades de IA para generar respuestas automáticas en una plataforma existente. Se requiere experiencia en desarro,Hace 6 horas,https://www.workana.com/job/automatizacion-de-respuestas-con-inteligencia-artificial,Data Scientist,workana,2026-09-05T12:54:04.825045,,"Python, API, Machine Learning, Chatbot",Remoto,USD 100 - 250
desarrollo-de-plataforma-marketplace-de-automoviles-con-gestion-de-usuarios,Desarrollo de Plataforma Marketplace de Automóviles con Gestión de Usuarios,Freelancer Plaga D.,Argentina,"Se requiere el desarrollo completo de un sitio web tipo marketplace dedicado a la compra y venta de automóviles. La plataforma debe incluir funcionalidades robustas para la gestión de publicaciones, permitiendo a los usuarios dar de alta, baja y modificar sus anuncios de vehículos. Además, es fundamental implementar un sistema de usuarios multinive",Hace 21 horas,https://www.workana.com/job/desarrollo-de-plataforma-marketplace-de-automoviles-con-gestion-de-usuarios,Data Scientist,workana,2026-09-05T12:54:04.825581,,"PHP, MySQL, HTML, CSS, JavaScript, Database",Remoto,USD 1.000 - 3.000
experto-en-migracion-y-rediseno-de-ecommerce-tiendanube-a-wordpress-woocommerce,Experto en Migración y Rediseño de Ecommerce Tiendanube a Wordpress Woocommerce,Freelancer T. F.,Argentina,"Hola! Somos AVS Online, una empresa especializada en la comercialización de equipamiento audiovisual profesional.www.avsonlinestore.com.arActualmente tenemos nuestro eCommerce en Tiendanube y estamos evaluando disti",Ayer,https://www.workana.com/job/experto-en-migracion-y-rediseno-de-ecommerce-tiendanube-a-wordpress-woocommerce,Data Scientist,workana,2026-09-05T12:54:04.826120,,"WordPress, WooCommerce, PHP, MySQL, HTML, CSS",Remoto,USD 100 - 250
desarrollo-de-inteligencia-artificial-para-optimizacion-empresarial,Desarrollo de Inteligencia Artificial para Optimización Empresarial,Freelancer Ignacio S.,Argentina,"Se busca un desarrollador de inteligencia artificial para crear soluciones innovadoras destinadas a empresas. El objetivo principal es optimizar procesos y mejorar resultados en áreas clave como ventas, marketing y edición de videos. El proyecto implica la conceptualización, diseño y desarrollo de sistemas de IA personalizados que puedan automatiza",Hace 2 días,https://www.workana.com/job/desarrollo-de-inteligencia-artificial-para-optimizacion-empresarial,Data Scientist,workana,2026-09-05T12:56:27.289785,,"Machine Learning, Python, REST API, JavaScript, SQL",Remoto,USD 50 - 100
desarrollo-de-aplicacion-android-manito-5x-con-react-native-expo-y-firebase,"Desarrollo de Aplicación Android Manito 5x con React Native, Expo y Firebase",Freelancer E. R.,Argentina,"Se busca un programador experimentado para el desarrollo de una aplicación móvil Android, denominada Manito 5X. El proyecto se centrará en la implementación de las siguientes funcionalidades clave en su Fase 1:1. Sistema de autenticación: Implementación de login y registro de usuarios utilizando correo electrónico y número de celu",Hace 2 días,https://www.workana.com/job/desarrollo-de-aplicacion-android-manito-5x-con-react-native-expo-y-firebase,Data Scientist,workana,2026-09-05T12:56:27.290372,,"Android, React Native, JavaScript, API, Database, PayPal",Remoto,USD 100 - 250
experto-en-automatizacion-de-ventas-con-ia-para-whatsapp-y-embudo-completo,Experto en Automatización de Ventas con Ia para Whatsapp y Embudo Completo,Freelancer Jose L. G.,Argentina,"Se busca un experto para desarrollar e implementar un sistema de automatización de respuestas en WhatsApp utilizando Inteligencia Artificial. El objetivo principal es construir un embudo de ventas completo que abarque la prospección, el seguimiento y el cierre de ventas, tanto por WhatsApp como a través de llamadas. El proyecto incluye la configura",Hace 2 días,https://www.workana.com/job/experto-en-automatizacion-de-ventas-con-ia-para-whatsapp-y-embudo-completo,Data Scientist,workana,2026-09-05T12:56:27.290859,,"Chatbot, CRM",Remoto,USD 250 - 500
